year,title,published_at,updated_at,category,nominee,artist,workers,img,winner,nominee_length
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best spoken word, documentary or drama","Gertrude Stein, Gertrude Stein, Gertrude Stein",Pat Carroll,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Pat%2BCarroll/Pat%2520Carroll_1_1_1581629312.jpg?itok=Uwoyry1T,True,46
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best instrumental composition,The Empire Strikes Back,Desconocido,"John Williams, composer (John Williams)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/John%2BWilliams/John%2520Williams_1_1_1597170495.jpg?itok=GsnrkP98,True,23
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best album of original score written for a motion picture or a television special,The Empire Strikes Back,Desconocido,"John Williams, composer (John Williams)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/John%2BWilliams/John%2520Williams_1_1_1597170495.jpg?itok=GsnrkP98,True,23
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best cast show album,Evita - Premier American Recording,Desconocido,"Andrew Lloyd Webber, composer; Tim Rice, lyricist; Andrew Lloyd Webber & Tim Rice, producers (Various Artists)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Andrew%2BLloyd%2BWebber/Andrew%2520Lloyd%2520Webber_1_1_1576344772.jpg?itok=8iG6F7y8,True,34
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best jazz vocal performance, female",A Perfect Match - Ella And Basie,Ella Fitzgerald,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ella%2BFitzgerald/Ella%2520Fitzgerald_1_1_1581553574.jpg?itok=TlaBTqZP,True,32
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best jazz vocal performance, male",Moody's Mood,George Benson,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/George%2BBenson/George%2520Benson_1_1_1578385429.jpg?itok=bzpUiUCb,True,12
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best jazz instrumental performance, soloist",I Will Say Goodbye,Desconocido,"Bill Evans, soloist",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Bill%2BEvans/Bill%2520Evans_1_1_1575367048.jpg?itok=la6AbYSj,True,18
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best jazz instrumental performance, group",We Will Meet Again,Bill Evans,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Bill%2BEvans/Bill%2520Evans_1_1_1575367048.jpg?itok=la6AbYSj,True,18
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best jazz instrumental performance, big band",On The Road,Count Basie,Desconocido,Desconocido,True,11
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best instrumental arrangement,"Dinorah, Dinorah",Desconocido,"Jerry Hey & Quincy Jones, arrangers (George Benson)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Quincy%2BJones/Quincy%2520Jones_1_1_1596789836.jpg?itok=54PdILuC,True,16
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best arrangement accompanying vocalist(s),Sailing,Desconocido,"Christopher Cross & Michael Omartian, arrangers (Christopher Cross)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Christopher%2BCross/Christopher%2520Cross_1_1_1581554585.jpg?itok=sDilUxBw,True,7
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best arrangement for voices,Birdland,Desconocido,"Janis Siegel, arranger (Manhattan Transfer)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Janis%2BSiegel/Janis%2520Siegel_1_1_1581555283.jpg?itok=ankwKAA_,True,8
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best album package,Against The Wind,Desconocido,"Roy Kohara, art director (Bob Seger & The Silver Bullet Band)",Desconocido,True,16
